price,address,area,bedrooms,toilets,floors,other_features
,"gần UB phường 9. Đường Số 3 thông Nguyễn Văn Khối, Pham Văn Chiêu, cắt ngang đường Số 9 thông ra Lê Văn Thọ.",42.0,2.0,,3.0,"3 tầng, gồm 1 trệt 2 lầu với 2 phòng ngủ, 2 WC, sân thượng. Nhà thoáng mát. Đường trước nhà 4m."
,,,2.0,,5.0,
,,,,,,
,,55.0,,,,
,,,,,,
,,,,,,
,"cực đẹp, cực hiếm, không có căn thứ 2 với giá như này",,,,,
,,,,,,
,,,,,,
,,,,,,
,cách mặt tiền đường chính 50m.,42.0,2.0,,2.0,"2 tầng, phòng khách, bếp, 2 phòng ngủ, 2WC."
,,,,,,
,,,,,,
,"gần Ngã Tư Hàng Xanh, các trường dh lớn, đầy đủ tiện ích.",82.0,,,3.0,
,"đẹp nhất khu vực , kinh doanh sầm uất , Hai Làn Ô Tô Chạy , Khu Vực dân cư đông đúc .",,,,,
,,,15.0,,,
3.4,,,,,4.0,"4 tầng, công năng đầy đủ, về ở ngay"
6.6,,,,,4.0,"4 tầng, công năng đầy đủ, về ở ngay đón tết"
,,,1.0,,,
,"nhà rất đẹp, trước nhà xe 3 gác vào được.Ô tô đỗ cách cửa 10m Tiện ích bạt ngàn, gần bệnh viện y hà nội, bệnh viện bạch mai, các trường đại  học....",,2.0,,,
,"Khu dân cư đông đúc, phù hợp vừa ở vừa cho thuê, tiện mở VP Cty, Spa, Bida, Trung tâm thể dục thể hình........",,,,,
,,,,,,
,,,,,,
,,,,,4.0,"4 tầng, diện tích 43m2, ô tô nhỏ lùi cửa."
,,,,,6.0,
,"Huỳnh Văn Bánh, F11, Phú Nhuận cách mặt tiền 120m di chuyển tới Sân bay 5p",58.0,,,4.0,
,,,,,,
,,,,,,
,,56.0,,,,
,,,,,,
,,,,,,
,,,,,4.0,
,"gần chợ Lê Văn Quới, khu vực đồng bộ nhà cao tầng.",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,2.0,,5.0,
,,,3.0,,,
,,,3.0,,,
,,,,,,
2.0,,,4.0,5.0,,
,,,,,,
,,,,,,
,"đắc địa ngay Aeon Mall Tân Phú, trường học các cấp, giáp Tân Bình, sân bay 15p.",76.0,,,,
,,,,,,
,"đẹp buôn bán tốt,nằm trên trục đường Shophouse của Hoàng Huy Mall, đi bộ sang viện y học biển.",50.0,,,3.0,
,,42.0,3.0,,3.0,
,,,,,2.0,"2 tầng, 1 trệt và 1 lầu đúc giả tiện mới xây."
8.7,,,,,4.0,
,,,1.0,,,
,mặt tiền Đường nguyễn thị Nhung  35m Khu Đô Thị vạn Phúc city Tp Thủ Đức,,,,5.0,
,,,,,,
,,,,,,
,"sầm uất, thông ra đường số 9, đường số 10, gần Chợ Linh Trung, Nhà hàng Nai Vàng, Bệnh Viện Thủ Đức. Tiện ích xung quanh đầy đủ.",,,,,
,,,2.0,2.0,2.0,"2 tầng, 2 phòng ngủ, 2 toilet,"
,,,,,,
,,,5.0,,,
,"Mặt tiền đường 10m, sát bệnh viện Quận 8, trường ĐH Công Nghệ SG, thông ra đường Phạm Thế Hiển, xe cộ dễ dàng lưu thông qua các quận lân cận.",,,,,
,"Đẹp, đi bộ ra bến xe Mỹ Đình, nhà trung tâm của trung tâm, 40m ra chợ, 80m là đến bến xe Mỹ đình, bạt ngàn tiện ích...",,,,4.0,
,"Đẹp, hẻm xe hơi chạy tới nhà, cách mặt tiền đường 70m, gần bệnh viện Nguyễn Tri Phương, sau UBND Quận 5, xe cộ thuận tiện ra vào, di chuyển dễ dàng sang các tuyến đường và các Quận lân cận.",,,,,
,,,4.0,,5.0,
,"cực đẹp, lô góc 2 mặt, ngõ nông, thông thoáng, ôtô đỗ cửa, cách phố 30m.",,,,3.0,
,,,,,,
,"Gần bệnh viện 7B,cách đường Nguyễn Ái Quốc khoảng 80m",,4.0,,,
,Nằm cách đường Nguyễn Thành Đồng khoảng 30m,,3.0,,,
22.5,,,,,,
,,,,,,
,"NE4, Phường Chánh Phú Hòa, Thị xã Bến Cát, Tỉnh Bình Dương",,,,,
,"Thẳng 1 trục ra mặt tiền Cầu Bưng, Lê Trọng Tấn, Bình Hưng Hòa, Bình Tân.",,,,,
,,,,,,
4.0,,40.0,,,,
,"nhà lô góc, mt đường 6m. Mặt hẻm 5m, ngay chợ đêm bắc ninh.",,,,,
,,,,,,
,,,,,,
,,,,,,
,"cực đẹp, thuận tiện di chuyển",75.0,,,3.0,
,,,,,,
,"gần ngã tư An Sương, hẻm trước nhà rộng 6m, không gian thông thoáng mát mẻ., vào trung tâm chỉ 15 phút.  Kết cấu Nhà có trệt, gác lửng gồm 2 phòng 2 WC và 3 phòng trọ cho thuê có lối đi riêng, đang cho thuê 5trtháng. Sân để xe, phòng khách, bếp.",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,4.0,4.0,4.0,
,,,4.0,,,
,"đẹp hiếm có, giao thông thuận tiện, nhà 2 mặt đường, ô tô tránh, vỉa hè, kinh doanh, văn phòng phù hợp",,2.0,,,
,"huyết mạch Dương Đình Nghệ nối liền đường Phạm Hùng, Trần Thái Tông, Trần Duy Hưng. Gần các Trường ĐH Báo Chí Tuyên Truyền, ĐH QG HN, ĐH Sư Phạm, ĐH Ngoại Thương, BV Thu Cúc, BV Hồng Ngọc, BV Nhi TW TT Big C Thăng Long, giao thông Thuận tiện.",,,,2.0,
,"khu đô thị mới Đại Kim, Dự án Athena Fulland, phân khu Larissa nằm trên trục Nguyễn Xiển  Vành đai 3, cạnh Đại Học Thăng Long. đối diện dự án The Manor Central Park giá cao gấp đôi.",75.0,,,5.0,
,"an ninh, 2 phút ra Hoàng Diệu 2, Phạm Văn Đồng, thông ra đường Linh Trung, thuận tiện di chuyển qua Đại Học Ngân Hàng Tp.HCM.",,,,,
,,,4.0,4.0,4.0,
,,,3.0,3.0,,
6.2,,,4.0,,4.0,"4 tầng, Ngang 4.5m"
,,,,,,
,,,,,,
,,,,,,
3.8,,,1.0,,4.0,"4 tầng, đầy đủ tiện nghi, chủ mới về ở ngay"
7.6,"Khu dân cư an ninh, dân trí cao, sầm uất, xe lưu thông thường xuyên.",,,,,
7.8,"Khu dân cư an ninh, dân trí cao, sầm uất, xe lưu thông thường xuyên.",,,,,
7.5,"Khu dân cư an ninh, dân trí cao, sầm uất, xe lưu thông thường xuyên.",,,,,
7.9,"Khu dân cư an ninh, dân trí cao, sầm uất, xe lưu thông thường xuyên.",,,,,
,,,,,,
,,,3.0,,,
,,,,,,
,,,,,5.0,
,,,,,,
,,,,,3.0,"3 tầng, 115m2, rộng thoáng, kinh doanh."
,"cực đẹp, gần Tên Lửa, kế chợ Bình Trị Đông, thuận tiên di chuyển đến các quận trung tâm.",88.0,,,,
,"đắc địa cách Đường Lê Văn Việt 200m, Gần trường học, Gần Bệnh Viện, Gần chợ, Gần các ngân hàng lơn,.....",224.0,,,,
,"20m ra hẻm xe tải tránh, đường Nguyễn Văn Khối Phường 9 Gò Vấp.",78.0,4.0,,4.0,"4 tầng, 4 phòng ngủ, 5WC, phòng khách, phòng giải trí, bếp rộng rãi, sân thượng."
,,,3.0,,,
,"phường 9, view sông thoáng mát, gần chợ, trường học, siêu thị,...",,,,,
,,,,,,
,"gần trường THCS Phạm Văn Chiêu, An Hội, vài bước chân đã ra mặt tiền Phạm Văn Chiêu.",43.0,4.0,,4.0,"4 tầng, gồm 4 phòng ngủ, 3WC, sân thượng."
,,,,,,
,"cách mặt tiền đường Nguyễn Văn Khối 40m, xung quanh nhiều dịch vụ tiện ích, thuận tiện lưu thông.",60.0,4.0,,4.0,"4 tầng, 4 phòng ngủ lớn, 5WC, sân trước và sau nhà, sân thượng, ban công, giếng trời."
,,27.0,2.0,,2.0,"2 tầng, 2 phòng ngủ."
,,,,,,
,,,3.0,,4.0,
,"Vũ Đức ThậnNguyễn Lam, hàng xóm Vinhomes Riverside Vinschool, cách sân golf Long Biên cầu Vĩnh Tuy 1km",,,,5.0,"5 tầng, thiết kế tân cổ điển nội thất sang trọng"
6.6,"Khu kinh doanh sầm uất, giáp Q6, gần Tân Phú. Kính doanh mỹ phẩm, nail, văn phòng, ở",,2.0,,2.0,
,,,,,4.0,
,,,3.0,,5.0,
,"đắc địa, di chuyển thuận tiện.",,,,,
,,,8.0,5.0,4.0,
17.5,,,,,,
,,,,,,
,,,,,,
,,,5.0,3.0,5.0,
3.7,,,,,3.0,"3 tầng, công năng đầy đủ."
,,,,,,
3.4,,,,,2.0,
,"Đẹp, đi bộ ra bến xe Mỹ Đình, nhà trung tâm của trung tâm, 40m ra chợ, 80m là đến bến xe Mỹ đình, bạt ngàn tiện ích...",,,,4.0,
,,,,,3.0,
,,,4.0,,5.0,
,,,,,5.0,
,,,,,4.0,
2.4,,48.0,4.0,3.0,5.0,"5 tầng, ngõ to ngay chợ Thiên Lôi"
,"đẹp, kinh doanh được mọi ngành nghề",,,,,
,,,2.0,,,
,,,5.0,,4.0,
,,44.0,2.0,,,
78.0,"khu vực Ngô Gia TựĐức Giang, gần đèn xanh đỏ Đức GiangNgô Gia Tự",,,,2.0,"2 tầng, trên sổ 360m, 90m ngoài sổ vẫn đóng thuế hàng năm,  1 mặt phố 1 mặt ngõ, mặt tiền 12m, vỉa hè 8m, phù hợp xây toà nhà văn phòng, siêu thị mini, trường học, phòng khám.."
,,,9.0,,6.0,"6 tầng, tổng 9 phòng ngủ khép kín full giường, tủ, nóng lạnh, điều hoà.. gồm"
,,,4.0,,,
,,,,,,
,,,,,5.0,
,,,,,,
,,,,,,
,,40.6,4.0,,4.0,
,,,,,,
,"đất sạch, khu dân cư hiện hữu. Ngay trung tâm Tp Thủ Đức, đường thông thoáng.  Tuyến lưu thông chính nối Hoàng Diệu 2, Lê văn Chí, Kha Vạn Cân, Linh Trung....thuận lợi kinh doanh đa ngành nghề.",,,,,
,,51.0,4.0,,4.0,"4 tầng, Ngang 4m, Hướng ĐB, ô tô đỗ cửa"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,2.0,,5.0,
,,185.0,,,,
,,,3.0,,,
,"gần vòng xoay Phú Lâm, siêu thị Coopmart, trường học các câp, siêu thị, công viên....",,,,3.0,"3 tầng,  3 PN, Sân Thượng, Khu vực an ninh, dân trí cao, tiện ích bao quanh. Vị trí gần vòng xoay Phú Lâm, siêu thị Coopmart, trường học các câp, siêu thị, công viên...."
,,,,,,
,,,3.0,3.0,4.0,
,ở hẻm đường số 38 Hiệp Bình Chánh Thủ Đức,,3.0,,,
3.8,,,,,2.0,
4.5,,,,,4.0,"4 tầng, công năng đầy đủ, về ở ngay"
,"rất đẹp, ngay Luỹ Bán Bích, Đầm Sen Park, giáp Tân Bình, thuận tiện vào trung tâm.",55.0,,,,
,,,,,,
,,,3.0,,,
,"đẹp, gần nhiều tiện ích, các trường đại học lớn, bệnh viện, trung tâm thương mại. Một bước ra Tây Hồ, không khí điều hòa, chất lượng sống đẳng cấp.",,,,,
,,,,,5.0,"5 tầng, 3pn khép kín, sân thượng..."
6.4,,,,,4.0,
5.8,,47.0,,,4.0,
5.6,,34.0,,,4.0,
,,,,,,
,,,,,4.0,
,"có thể mở cửa hàng kinh doanh buôn bán cafe, nhà hàng, mở văn phòng...",260.0,,,1.0,
,,,3.0,2.0,3.0,"3 tầng, 1 trệt 2 lầu,  3 phòng ngủ, 2 toilet, có giếng trời sáng và thoáng mát."
,,,,,,
,,,4.0,,4.0,"4 tầng, thiết kế theo phong cách kiến trúc Pháp, chủ tự xây tâm huyết, chau chuốt từng chi tiết đấu cột, từng đường gờ phào, làm toát lên vẻ đẹp mãi mãi với thời gian. Căn nhà được thiết kế 4 phòng ngủ, phòng khách, bếp, wc, đầy đủ công năng cho một công trình nhà ở gia đình."
,,,,,,
,"cực đẹp, hẻm 6m thông, xe đỗ cửa ngày đêm.",,,,,
,thuận tiện mọi mặt từ vị trí đến các tiện ích xung quanh.,,,,4.0,"4 tầng, MT 4m  Ô TÔ chỉ 7,3 tỷ"
,"Gần chợ tân vạn,cách đường Bùi Hữu Nghĩa khoảng 150m",,2.0,,,
,,84.0,,,,
,,,1.0,,4.0,"4 tầng, 2 ngủ đầy đủ công năng."
,,55.0,5.0,,3.0,
,,,2.0,,,
,,88.0,,,3.0,
,,,,,,
,,63.0,,,,
,,,,,,
,,,,,5.0,
,,,,,5.0,
,,,,,5.0,
,,,6.0,,,
,,,,,2.0,"02 tầng, tầng 1 cho thuê kinh doanh, tầng 2 linh hoạt cho thuê hoặc ở, cho thuê dễ dòng tiền tối thiểu 300 triêu."
,,,,,,
,,,4.0,,,
,,,1.0,,5.0,
,"rất đẹp tại vùng lõi của Gia Lâm, xung quanh đông dân, tiện ích nhiều. Thích hợp mua an cư kết hợp kinh doanh tại nhà...",,,,,
,gần trường Cao đẳng Công Thương. Đường ô tô đổ cửa. Thuận tiện di chuyển.,,,,,
,"hẻm 102 đường Lê Văn Thọ, phường 11, quận Gò Vấp. Gần chợ, trường mầm non, trường cấp 123, siêu thị, công viên Làng Hoa,",50.0,3.0,,2.0,
,,,,,4.0,
,,,,,,
,,,4.0,,4.0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,2.0,"2 tầng, diện tích 32m2, mặt tiền 4.2m"
,,,,,,
,,,2.0,,5.0,
4.75,,40.0,,,2.0,
,,,,,5.0,"5 tầng, 5 phòng. Tum mái có vườn rau sạch."
,,,,,5.0,"5 tầng, tổng 5 PN rộng."
,"Cách Kênh Tân Hóa vài bước chân, hẻm nhựa 5m, thông ra công viên KDC Kênh Tân Hóa, đối diện CV Đầm sen, hội chợ Lô Tô khu vui chơi giải trí.",,,,,
,,,3.0,,,
,"chợ Thạnh Phú, cách changshin 2km",,,,,
,,,2.0,,5.0,"5 tầng, mặt tiền rộng được thiết kế gồm"
,"nhà mặt phố vỉa hè đá bóng.,",,,,,
,,,,15.0,,
,"nhà trung tâm, gần  Nguyễn Hữu Thọ, Xô Viết Nghệ Tĩnh",,,,3.0,
,"ngay trung tâm Tân bình, giáp các quận thuận tiện tiện ích đầy đủ, khu an ninh yên tĩnh.",,,,,
,,50.0,4.0,,,
,"huyết mạch Dương Đình Nghệ nối liền đường Phạm Hùng, Trần Thái Tông, Trần Duy Hưng. Gần các Trường ĐH Báo Chí Tuyên Truyền, ĐH QG HN, ĐH Sư Phạm, ĐH Ngoại Thương, BV Thu Cúc, BV Hồng Ngọc, BV Nhi TW TT Big C Thăng Long, giao thông Thuận tiện.",,,,2.0,
,"cách cầu Chương Dương 300m, ngõ rộng thông thoáng, cách ô tô tránh 30m, hưởng trọn tiện ích Mipec Long Biên",,,,4.0,
,,,,,,
,,,3.0,,,
,,,,,,
,,,2.0,2.0,,
,"Bửu Long, cách Huỳnh Văn Nghệ 20m",80.0,,,,
,,,,,6.0,
,,90.0,,,3.0,"3 tầng, hoàn thiện tạm bên ngoài, chưa hoàn thiện bên trong, vị trí căn rất đẹp, không lỗi phong thủy, đối diện là các căn biệt thự 250m2 nên mật độ xây dựng rất thoáng, bên cạnh là UBND huyện, xung quanh bạt ngàn tiện ích cao cấp. Thích hợp mua an cư hoặc làm văn phòng công ty..."
16.0,,,,,,
,,134.0,2.0,,,
4.0,,,4.0,,,
,"| Mặt phố tuyệt vời, có một ko hai. Thiết kế 5 tầng hiện đại, đầy đủ công năng.",,,,5.0,
,,,,,,
,"quá đẹp. Đường rộng, thông các ngả. Ba gác phi ầm ầm, kinh doanh hộ gia đình được. Gốc lõi Đống Đa, nghìn năm văn hiến.",,,,,
,,,,,4.0,
,,,,,4.0,
,,,2.0,,,
,,,1.0,,4.0,
,,,,,,
,,,,,,
,"khu đất vàng có vị trí siêu đẹp trên đường Nguyễn Lam Đối diện phân khu Nguyệt Quế  The Harmony  5 tòa chung cư cao cấp Sunshine, ngay cạnh trường học MN, tiểu học, trung học Sài Đồng  Việt Hưng, PTLC VinSchool, cách Big C Long Biên 500m. Xung quanh bạt ngàn tiện ích cao cấp, thích hợp mua an cư hoặc làm văn phòng đại diện...",,,,,
,"Ngay khu Tân Tạo Tên Lửa, Cách đường số 7 chỉ 30m, Toà Nhà Mặt tiền 5 Tầng có Hầm, Lô góc trang bị đầy đủ thang máy, kết hợp văn phòng cafe vỉa hè",,,,,
,,,3.0,,5.0,"5 tầng, thiết kế hiện đại, tối ưu công năng sử dụng, gồm 3 phòng ngủ, phòng khách, bếp ăn, wc, đáp ứng đầy đủ nhu cầu gia đình."
,"mặt tiền đường 12m thông tuyến đường Tên Lửa, Đường Số 7, Tĩnh lộ 10, Trần Văn Giàu.",,,,,
,,,,,4.0,
,nhà mặt tiền KINH DOANH ngay Hoàng Hoa Thám.,33.0,,,,
,"Ngay giáp lộ với Đường dẫn Cao tốcTrung Lương Võ Trần Trí, cạnh bên Chung cư Tecco Nguyễn Cửu Phú, gần khu Tên Lửa Aeon mall Bình Tân, tiện di chuyển khắp nơi",,,,2.0,
45.0,"mặt phố khu vực Nguyễn Văn Cừ, cách cầu Chương Dương 200m",,,,8.0,
,,,,,,
,"Gần Aeon mall Tên Lửa. Cạnh Kinh Dương Vương, tiện di chuyển về Trung Tâm.",,,,3.0,
,,,,,,
,"trung tâm Linh Chiểu, cạnh Agribank, Bảo hiểm xã hội Thủ Đức.",,,,,
,,,,,,
,,,,,2.0,
,,,2.0,,,
,,,2.0,,,
,,,,,,
,,,,,,
,,,2.0,,4.0,"4 tầng, thiết kế hiện đại có thể hoán đổi công năng thoải mái"
,"Nằm ngay ngã tư Lê Duẩn  Nguyễn Thượng Hiền, đi bộ hơn trăm mét ra Rạp Xiếc TW, 200m Công viên Thống Nhất  Hồ Bảy Mẫu.",,,,4.0,
,"gần Tên Lửa, Vành Đai Trong, Đỗ Năng Tế và đường số 17A.",,,,,
,,51.0,3.0,,,
,"2 mặt tiền đường Nguyễn Cư Trinh, Bình hiệp A, TT Lấp Vò, Đồng Tháp",,,,,
17.0,"đep gần Đường Nguyễn Hoàng và siêu thị MEGA MARKET An Phú, khu vực an ninh bảo vệ trực 2424.",,,,,
5.0,,,,,5.0,
9.8,,,,,,
,"| Nằm sát gần cầu Ông Lãnh, thuận tiện di chuyển giữa các Quận 1,2,3,5,7",,2.0,,,
,"cách changshin 900m , BIG C 2km",,,,,
7.5,,,,,,
,,,4.0,,,
,,,,,,
,|Kiệt ô tô đậu trước nhà. Các đường chính Trần Hưng Đạo chỉ 60m.,57.0,,,,
,,,,,5.0,"5 tầng, thiết kế hiện đại, tiện nghi, gồm các phòng ngủ, phòng khách, bếp ăn, wc, đảm bảo đầy đủ mọi nhu cầu sinh hoạt gia đình."
,,,,,5.0,
,,,,,,
,,,,,,
,,,,,3.0,
,,,3.0,,,
,,,,,,
,,,,,,
,vài bước chân ra mặt tiền đường Số 4 Phường 16 Gò Vấp.,73.0,5.0,,4.0,"4 tầng, 5 phòng ngủ, 6WC, phòng thờ, giếng trời, sân trước, sân sau, sân thượng."
,,,,,,
16.0,,,,,,
,,,,,,
,,,,,2.0,"2 tầng, khung cột chắc chắn, thiết kế đủ công năng, 2 ngủ, cầu thang giữa, tầng 1 để xe, khách, bếp."
,,,2.0,,2.0,
7.5,"khu vực Bồ ĐềHồng Tiến, gần hồ điều hoà, ngõ rộng 3m,  5m ra ôtô tránh, 5 phút đến cầu Chương Dương cầu Vĩnh Tuy",,,,5.0,"5 tầng, 3 ngủ khép kín, tặng nội thất"
,,60.0,,,,
,,,,,,
,,,,,,
,,,4.0,,,
,,,2.0,,,
19.5,,,,,4.0,
,,,,,,
11.0,,,3.0,,,
,"gần mặt tiền Hoàng Văn Thụ, Cộng Hoà, Lăng Cha Cả, công viên, chợ Phạm Văn Hai.",,2.0,,,
,"Mặt tiền đường nhựa rộng 20m, xe hơi ra vào đậu thoải mái, gần bệnh viện Q8, trường ĐH Công Nghệ SG, xe cộ lưu thông dễ dàng qua các tuyến đường và các Quận lân cận.",,,,,
,"Nằm căn góc 2 mặt hẻm thông thoáng, cách đường Phạm Hùng 100m, gần cầu Chánh Hưng, cầu Nguyễn Tri Phương, tiện lưu thông qua các Quận lân cận 1 cách dễ dàng.",,,,,
,"đẹp, thuộc khu phân lô liền kề khu đô thị Gelexia. Khu vực cực kỳ phát triển, giá nhà đất tăng từng ngày. Đường rộng 2 ô tô tránh thoải mái. Ô tô đỗ cửa.",,2.0,,,
,,,,,,
,"cách sông 300m, cách đường Đồng Khởi 100m, cách trường Mạc Đĩnh Chi 300m, cách trường mầm non 600m, cách chợ Gò Đình 800m,...",60.0,,,,
,"ngay trung tâm Tân bình, giáp các quận thuận tiện tiện ích đầy đủ, khu an ninh yên tĩnh.",,,,2.0,
,"đẹp sát mặt tiền, gần chợ, trường học các cấp, xung quanh ko thiếu thứ gì. Sang Quận 6 chỉ 2 phút, gần Vòng xoay Phú Lâm. BT159",,,,,
,"đẹp cách Hồ Tây vài trăm mét, mặt ngõ thông vừa ở  vừa cho thuê  kết hợp kinh doanh Tầng 1, ngõ rộng ôtô đỗ cửa  vào nhà.",,,,8.0,
,,,4.0,,,
,,,4.0,,4.0,"4 tầng, thiết kế hiện đại, gồm 4 phòng ngủ, phòng khách, bếp ăn, đầy đủ công năng sử dụng."
,"khu vực Phan Đình PhùngQuán ThánhCửa Bắc. Vỉa hè, ôtô 2 chiều, gần bốt Hàng Đậu",,,,4.0,
9.9,"giao đường số 3, đẹp, đường xe hơi tránh rộng rãi, tiện ích xung quanh không thiếu thứ gì.",,,,5.0,
30.0,"đẹp, thuộc con đường sầm uất, buôn bán kinh doanh, toà cao ốc văn phòng lớn,...Tiện di chuyển đi bất cứ đâu.",,,,,
7.85,"trung tâm cầu nối các quận Hoàng Mai, Thanh Trì, Hoàn Kiếm, Cầu Giấy, Hai Bà Trưng, Cầu giấy.",62.8,4.0,,4.0,"4 tầng, MT 5.2m."
,,,,,3.0,
,"Nhà trong khu phân lô Biệt thự, nhiều tiện Ích xung quanh.",,,,,
,,,2.0,,5.0,
,,,,,,
,"mặt tiền đường Số 19, Phường 8, Gò Vấp, thông Quang Trung, Lê Văn Thọ, Nguyễn Văn Khối. Tiện ích xung quanh không thiếu thứ gì chợ, siêu thị, trường học, bệnh viện, v.v.",81.0,5.0,,4.0,"4 tầng, 5 phòng ngủ có phòng ngủ tầng trệt, 5 WC, sân thượng."
,"trung tâm Q.Tân Bình, gần chợ Ông Địa, giáp Quận 10, Lạc Long Quân, Lý Thường Kiệt, khu Bàu Cát, UBCA, trường học, tiện ích bủa vay. TB118",,,,,
,"Khu đất LK13, LK14  Tổ 3,đường Điện Biên Phủ, phường Phan Si Păng, thị xã Sa Pa, tỉnh Lào Cai",,,,4.0,
,"trung tâm quận Hà Đông vài bước ra mặt phố Quang Trung, Lê Lợi, quận ủy,...",33.0,,,,
,nằm ngay đường dẫn vào dự án Khu đô thị Phú Mỹ Hưng 34.,1179.0,,,,
,,,,,,
,,,,,,
,,,,,4.0,"4 tầng, diện tích công nhận 80m2 4x20 m có 5PN, 6WC, phòng thờ, phòng xông hơi tầng 4, sân thượng, chỗ đậu xe hơi trong nhà, có khoảng sân sau nhà thoáng sáng."
,"đẹp ngay sát đường ô tô tránh, ô tô nhỏ vào nhà dễ dàng",,,,,
,,35.0,,,,
,,,3.0,,,
,"cực đẹp giáp Q6, đối diện Aeon Mall Tên Lửa, thuận tiên di chuyển vào Chợ Lớn, cách mặt tiền đường Đại Lộ chỉ 100m.",65.0,,,,
,"đẹp, khu sầm uất, giáp Văn Cao, Phú Thọ Hoà, gần chợ, trường học các cấp, xung quanh ko thiếu thứ gì. TP165",,,,,
,"đẹp sát mặt tiền, gần chợ, trường học các cấp, xung quanh ko thiếu thứ gì. Sang Quận 6 chỉ 2 phút, gần Vòng xoay Phú Lâm. BT159",,,,,
,"đẹp ngay sát đường ô tô tránh, ô tô nhỏ vào nhà dễ dàng",,,,,
,,,,,,
,"lô đẹp nhất phố Võng thị, mặt tiền đẹp, kinh doanh tối ưu, gia đình đang tự vận hành cho thuê 6 phòng full 48tr tháng",,,,,
,nhà,,,,,
,,,4.0,,4.0,"4 tầng, thiết kế hiện đại, chủ tự xây tâm huyết, ở được vài năm, nay muốn bán chuyển ra khu liền kề ở nhà to hơn. Căn nhà được thiết kế 4 phòng ngủ, phòng khách, bếp ăn, wc, đáp ứng đủ nhu cầu gia đình."
,,,4.0,,4.0,
,"gần mặt tiền Lê Thúc Hoạch, thuận tiện di chuyển Phú Thọ Hoà, Nguyễn Sơn, chợ Tân Hương, Aeon Tân Phú...",,,,,
,,,,,,
,"cách phố chỉ 1 nhà, ngõ thông, nhà gần chợ, trường cấp 1,2,3 Xuân Đỉnh. Giao thông thuận lợi kết nối nhiều tuyến phố lớn như Xuân La, Võ Chí Công, Nguyễn Xuân Khoát.",,,,,
,"gần Trần Não, Bình An, Q2",,,,,
,"đẹp, khu vực sầm uất, mặt tiền đường nhựa trục chính thuộc Khu Vip, thích hợp kinh doanh mua bán, làm văn phòng cty hoặc cho thuê ..",,,,,
,"đường  Nguyễn Chí Thanh, KP12, Dương Đông, Phú Quốc, Kiên Giang ,",,,,,
,,,,,,
,,,,,,
,"của nhà là đẹp nhất tuyến đường, ngay gần khách sạn Sunflower.",90.0,,,,
,,,3.0,,,
,,,,,,
,,35.0,,,4.0,
,"đông người qua lại, đường thông với Nguyễn Văn Linh, Lâm Văn Bền, trường đại học Marketing, tiện mua bán kinh doanh",,,,,
,"Hẻm trước nhà gần 4m, cách mặt tiền chợ Nguyễn Thị Tần 100m, gần cầu Chữ Y, xe cộ tiện lưu thông qua các tuyến đường và các Quận tiếp giáp.",,,,,
,"nhà mặt tiền trung tâm Phú Nhuận  Thích Quảng Đức. Kinh doanh sầm uất đa nghành nghề cực kỳ thuận lợi, tuyến đường 2 chiều, nhà đẹp vô ở ngay, xe hơi đậu trong nhà.",,,,,
,"đắc địa, đoạn đẹp nhất tuyến đường Hoàng Sa  Trường Sa, Đoạn 2 Chiều ngay Trung Tâm, Khu Vực Kinh doanh sầm uất, Nhà 1 Đời chủ, Chưa qua đầu Tư, Rất thích Hợp mua đẻ đầu tư hoặc để ở...",,,,,
,,,,,4.0,
,,51.0,,,3.0,
,,50.0,2.0,,,
,,,,,5.0,
,,,2.0,,5.0,
,,,,,,
8.1,,,,,5.0,
,"lô góc 3 mặt tiền nhưng chỉ dính 1 xíu lộ giới, có 200m2 đất ở.",,,,,
,"yên tĩnh, gần rất nhiều tiện ích Chợ, bệnh viện...",,,,,
,,,,,1.0,"1 tầng, | Tầng 9 2 căn hộ, sân phơi,"
,,,,,4.0,"4 tầng, thiết kế hiện đại, tiện nghi gồm các phòng ngủ, phòng khách, Bếp, phòng thờ, sân phơi, đáp ứng đầy đủ nhu cầu gia đình."
,,,,,4.0,
,,,,,,
,,,,,,
,,,2.0,,,
,"Mặt ngõ thông, gần phố, để ở an sinh đẳng cấp, khu vực có an ninh bảo đảm, tập trung dân trí cao, trước nhà rộng để xe vô tư, đi bộ vài bước ra phố mua sắm, tiện ích ngập tràn",,,,4.0,
,,,4.0,,5.0,
,,90.0,,,3.0,
,,,,,5.0,
,"Gần uỷ ban,chợ ,cách đường Bùi Hữu Nghĩa khoảng 200m",,3.0,,,
,"ngay chợ đo đạc, đường lớn, 7.5 tỷ không thương lượng",,,,,
,Sát mặt tiền đường trục chính . Nguyễn Thị Nhung và Quốc Lộ 13,,,,,
,"đẹp, bề ngang lớn gần 7m tiện kinh doanh mua bán",,,,2.0,
,"đắc địa sát bên Tân Phú, thẳng 1 trục là Quận 11 Quận 10 Tân Bình Quận 6.",,,,5.0,
