No,Price,Title,Area,Bedrooms,WCs,Address,Postdate,Description,
633,30,Cho thuê nhà mặt tiền đường Hồ Văn Long 7x21,150,,,,2023-11-16 16:14:32,"Vị trí đẹp, kinh doanh được mọi ngành nghề |DT 7x21 |Gía 30tr tl |KC cấp 4 trống suốt |LH 0938925326",
634,9.3,"Bán nhà Phúc Đồng, Long Biên, 70m x 4 tầng, ô tô, nhà mới 9 tỷ 3",70,4,4,"Đường Nguyễn Văn Linh, Phường Phúc Đồng, Quận Long Biên, Hà Nội, Dự án",2023-11-16 16:17:54,"- Nhà thuộc phường Phúc Đồng, ngõ thông thoáng từ Nguyễn Văn Linh sang Nguyễn Lam, thừa hưởng hạ tầng Vinhomes. Khu vực đang phát triển đẹp cùng các khu dự án phân lô C14 Phúc Đồng và các tòa cao tầng đang xây dựng cao cấp, tiện ích không thiếu gì. |- Nhà xây dựng cẩn thận thiết kế đẹp tận dụng vừa ở vừa kinh doanh, tối ưu công năng, khách có thể lên thêm tầng nếu muốn: |+ Tầng 1: Để xe, phòng khách, bếp, WC |+ Tầng 2, 3: mỗi tầng 2 phòng ngủ, wc |+ Tầng 4: phòng ngủ, phòng thờ, sân phơi. |- Sổ đỏ sẵn sàng giao dịch.  |- LH: 0904.882258",
635,11,Nhà Đẹp Đào Duy Anh Phường 9 Phú Nhuận 4 Tầng 80m2 chỉ 11.x Tỷ,80,5,6,,2023-11-16 16:42:16,"Diện tích & kết cấu: 80m2 (4 x 20m) xây 4 tầng sàn btct, 5 phòng ngủ, 6 vệ sinh, phòng thờ, phòng khách, phòng bếp, sân trước nhà, giếng trời đón ánh sáng tự nhiên, không gian trong căn nhà rất mát, sân thượng.  |Giá 11.x tỷ tl |LH Nguyễn Hương 0938509958 xem nhà mua bán trực tiếp chủ.",
636,3.7,"Bán nhà hẻm 380 Nguyễn Văn Khối Phường 9 Gò Vấp, 44m2, 2 tầng, 3.7 tỷ",44,2,2,Nguyễn Văn Khối,2023-11-16 17:35:20,"* Diện tích 44m2, 3.8m x 11.6m, 1 trệt 1 lửng, nhà còn mới ở ngay, gồm 2 phòng ngủ (có 1 phòng ngủ tầng trệt), 2 WC. |• Hẻm ba gác.  |• Khu vực an ninh yên tĩnh. |• Hình sổ vuông vức, hoàn công đủ.",
637,78,"bán nhà mặt phố Long Biên 360/450m, mặt tiền 12m, vỉa hè 7m, full thổ cư",360,2,2,,2023-11-16 19:07:10,"-Vị trí: khu vực Ngô Gia Tự-Đức Giang, gần đèn xanh đỏ Đức Giang-Ngô Gia Tự  |-Hiện trạng : nhà cũ 2 tầng, trên sổ 360m, 90m ngoài sổ vẫn đóng thuế hàng năm,  1 mặt phố 1 mặt ngõ, mặt tiền 12m, vỉa hè 8m, phù hợp xây toà nhà văn phòng, siêu thị mini, trường học, phòng khám..  |-Pháp lý : Sổ đỏ  |-Giá: 78 tỷ ( có thương lượng )  |Liên hệ xem nhà miễn phí và tư vấn : Trần Hải 0906098086",
638,6.6,"NHÀ MỚI - TRƯƠNG ĐỊNH- DÒNG TIỀN 500TR/NĂM- 49M-MT 5,6M- 6 TẦNG- 9 PHÒNG- CHỈ 6,6 TỶ",49,9,10,,2023-11-16 19:31:53,"- Ngõ ngay đoạn đầu Đại La - Minh Khai, dân cư đông đúc, tập trung hàng ngàn sinh viên các trường Bách - Kinh - Xây, nhu cầu thuê cực đại, khách mua chả phải lo đầu ra. |- Tự kinh doanh mỗi tháng là 48tr chưa dịch vụ. |- Nhà xây mới tinh, thang máy hiện đại. Lô góc 3 mặt ngõ nên phòng nào cũng cửa sổ rộng, thoáng | - Thiết kế: Nhà 6 tầng, tổng 9 phòng ngủ khép kín full giường, tủ, nóng lạnh, điều hoà.. gồm: |+ Tầng 1: Thông sàn để xe + Vệ sinh. |+ Tầng 2, 3, 4, 5: Mỗi tầng 2 phòng khép kín |+ Tầng 6: 01 Phòng khép kín + Sân phơi. |- Sổ đỏ chính chủ, sẵn sàng giao dịch.",
639,6.6,"NHÀ MỚI - TRƯƠNG ĐỊNH- DÒNG TIỀN 500TR/NĂM- 49M-MT 5,6M- 6 TẦNG- 9 PHÒNG- CHỈ 6,6 TỶ",49,9,10,,2023-11-16 19:31:53,"- Ngõ ngay đoạn đầu Đại La - Minh Khai, dân cư đông đúc, tập trung hàng ngàn sinh viên các trường Bách - Kinh - Xây, nhu cầu thuê cực đại, khách mua chả phải lo đầu ra. |- Tự kinh doanh mỗi tháng là 48tr chưa dịch vụ. |- Nhà xây mới tinh, thang máy hiện đại. Lô góc 3 mặt ngõ nên phòng nào cũng cửa sổ rộng, thoáng | - Thiết kế: Nhà 6 tầng, tổng 9 phòng ngủ khép kín full giường, tủ, nóng lạnh, điều hoà.. gồm: |+ Tầng 1: Thông sàn để xe + Vệ sinh. |+ Tầng 2, 3, 4, 5: Mỗi tầng 2 phòng khép kín |+ Tầng 6: 01 Phòng khép kín + Sân phơi. |- Sổ đỏ chính chủ, sẵn sàng giao dịch.",
640,3.85,BÁN NHÀ KHƯƠNG TRUNG - LÔ GÓC 40M - 4 TẦNG – Ô TÔ 4 NGỦ Ở NGAY. LH: 0393838449,40,,,,2023-11-16 20:38:31," |+Trung tâm quận Thanh Xuân gần các tuyến phố lớn: Trường Chinh, Nguyễn Trãi, Tây Sơn, Vương Thừa Vũ, Kim Giang, Hoàng Văn Thái | |+Ngõ ô tô suzuki thông phố Lê Trọng Tấn cách phố vài phút |  |+Nhà gần Bệnh viện Đại học Y, Bệnh Viện Bạch Mai. Gần đại học Y HN, Đại học Kinh tế quốc dân, Đại học Bách Khoa, Đại học Xây Dựng, 30m ra Đầm Hồng. |  |+Nhà chủ xây cẩn thận, khung cột chắc chắn, thiết kế 4 phòng ngủ phù hợp cho gia đình nhiều người. |  |+Sổ đỏ chính chủ, sẵn sàng giao dịch. |  |+ Giá chào: 3 tỷ 85 (có thương lượng). |  |Liên hệ: Mr. Thái Sơn chuyên nhà đẹp Thanh Xuân-Đống Đa |Để được xem nhà và tư vấn miễn phí 24/7 |  |Gọi ngay: 0393838449 (Zalo)",
641,8.9,"CẦN BÁN NHÀ MỚI ĐẸP HXH, GẦN MẶT TIỀN TBT, PHƯỜNG 5 BÌNH THẠNH, SỔ ĐẸP NỞ HẬU TÀI LỘC.",55,5,6,gần Mặt tiền TBT,2023-11-16 21:48:53,"+ Nhà mới và đẹp 5PN 6WC, rộng rãi thoáng mát. |+ Hẻm xe hơi 4m5, cao ráo bao ngập nước. |+ Khu vực an ninh, yên tĩnh, dân trí cao. |+ Sổ đẹp nở hậu tài lộc. Hoàn công đầy đủ. Công chứng sang tên nhanh.",
642,12.33,BÁN NHÀ LIỀN KỀ VĂN KHÊ,85,5,5,,2023-11-16 21:57:51,"diện tích 85 m2 x5 tầng  mặt tiền rộng ,nhà thuộc khu phân lô vỉa hè oto dừng đỗ ngày đêm , tiện ích ngập tràn  Giá chỉHƠN 12 TỶ |- sổ đỏ cất két sẵn sàng giao dịch |- lh MR Hưng ĐSĐT 0981896386 để được xem nhà miễn phí",
643,4.9,"NHÀ ĐẸP Ở NGAY !! Chỉ 4,9 Tỷ, Có Ngay Nhà HXH, 60m2(4x15), Kế Bên Coop mart, Thủ Đức",60,4,3,"Lê Văn Việt, Quận 9, Thủ Đức",2023-11-16 23:24:32,"✅  GIÁ: 4,9 TỶ TL  |——————————————— |▶ Nhà 1 trệt, 2 lầu, 4PN, 3 Wc, ban công đoán nắng. Chủ tặng nội thất đẹp |▶ Đường ô tô đến nhà, Khu dân trí cao.  |▶  Tiện ích: chợ, trường học, siêu thị |▶ Sổ đẹp, pháp lý chuẩn, công chứng ngay",
644,11,"Ngay Khu phố ẩm thực Phan Xích Long, hẻm xe tải tránh, cần bán nhà 71/43 Nguyễn Công Hoan",62,3,4,71/43 ,2023-11-17 08:54:10,,
645,3.3,"Bán nhà 4 tầng An Chân, Sở Dầu, Hồng Bàng, Hải Phòng ô tô đỗ cửa giá chỉ hơn 3 tỷ",40,4,3,"An Chân, Sở Dầu, Hồng Bàng, Hải Phòng",2023-11-17 09:23:41," LH Mrs Tâm: 0796-336-866 |- Diện tích: 40.6m2 |- Ngang: 4m |- Hướng: Tây Bắc |- Đường: 6.2m | Giá: 3,3 tỷ( TT) | | Mô tả: |-  Nhà có vị trí thuận lợi với ô tô đỗ cửa, giúp tiện ích di chuyển và giao thông. | |- Nhà được xây dựng 4 tầng kiên cố và có thiết kế siêu đẹp. Khu vực ngõ dân cư đông đúc, đảm bảo an ninh cực tốt. | | Cấu trúc nhà bao gồm ô tô đỗ vỉa hè trước cửa, phòng khách, bếp, 4 phòng ngủ, phòng thờ, sân phơi. | | LH Mrs Tâm: 0796-336-866 CDT Group Sàn Bán Nhà Hải Phòng.",
646,31.5,"HOT HOT BÁN GẤP NHÀ MẶT TIỀN NGUYỄN THẾ TRUYỆN TÂN PHÚ 185M2,  GIÁ 31.5 TỶ.",185,,,,2023-11-17 10:24:30,"- Mặt tiền 12M đường Nguyễn Thế Truyện rộng rãi, gần UBND Phường rất an ninh. |-  Chủ đang cho thuê có hợp đồng 5 năm sắp đến ngày đáo hạn hợp đồng. Chủ mới có thể cho thuê tiếp tục hoặc xây dựng mới. |- Nhà 2 căn liền, sổ hồng chính chủ, vuông vức như tờ A4, không lộ giới, không quy hoạch, công chứng trong ngày. | |* LIÊN HỆ: 0868590168 - 0858346038 ( Mrs Diễm – Chuyên mua bán – ký gửi nhà phố, hẻm ô tô tại các Quận Sài Gòn ). Haky-hakyA",
647,8,"Bán lô đất có sẵn 5 phòng trọ. MT đường, P. Linh Trung, giá 8 tỷ TL",90,5,5,"Đường Số 10, Phường Linh Trung, Quận Thủ Đức, TP HCM",2023-11-17 10:27:47,"+ Diện tích đất: 90,2m2, ngang 5m x 18m vuông vức  |+ Hiện Trạng: 5 phòng trọ, thu nhập 15triệu/tháng  |+ Vị trí: đất sạch, khu dân cư hiện hữu. Ngay trung tâm Tp Thủ Đức, đường thông thoáng. + Tuyến lưu thông chính nối: Hoàng Diệu 2, Lê văn Chí, Kha Vạn Cân, Linh Trung....thuận lợi kinh doanh đa ngành nghề. |+ Hướng: Tây Nam. |+ Cách trường Tiểu học Hoàng Diệu 100m, ra Hoàng Diệu 2, chợ Linh Trung |tầm 300m |+ Giá bán: 8 tỷ thương lượng chính chủ. |+ Phù hợp xây dãy trọ cao cấp cho thuê, nhà ở , Vp cty…… |Liên Hệ Em Long 0898 408 677 để được xem và mua nhanh nhất!! Mong tiếp khách thiện chí",
648,TT,BÁN NHÀ 3 tầng mặt tiền kinh doanh 12m Phường Linh Đông 89m2 6.8 tỉ thương lượng,,,,,2023-11-17 10:43:46,Diện tích 5x18 - 6.8 tỉ thương lượng,
649,TT,BÁN NHÀ 3 tầng mặt tiền kinh doanh 12m Phường Linh Đông 89m2 6.8 tỉ thương lượng,,,,,2023-11-17 10:43:46,Diện tích 5x18 - 6.8 tỉ thương lượng,
650,3.9,"Bán nhà riêng 51m2 4 tầng độc lập lô góc ngay Sở Dầu, Hồng Bàng, Hải Phòng. Đường ô tô",50,4,3,"Sở Dầu, Hồng Bàng, Hải Phòng",2023-11-17 10:58:32,"Diện tích: 51m2 x 4 tầng, Ngang: 4m, Hướng: ĐB, ô tô đỗ cửa | Sổ đỏ chính chủ |Căn nhà 4 tầng xây độc lập , móng cọc khoan nhồi chắc chắn , vị trí đối diện trường học các cấp Bạch Đằng , chợ Sở Dầu , ngã 4 Metro bệnh viện bến xe trung tâm di chuyển các hướng rất thuận tiện , khu dân cư đông đúc , đường thông ngõ rộng oto đỗ cửa… |Cấu trúc: phòng khách , 4 phòng ngủ , 3 vệ sinh , phòng thờ , sân phơi , bếp. Khách hàng mua nhà chỉ việc xách Vali về ở. |Giá: 3,9 tỷ ( thoả thuận ) | LH Mrs Tâm: 0796-336-866 CDT Group Sàn Bán Nhà Hải Phòng.",
651,4,"Ngã Tư Bình Thái, hàng xóm Quận 2. Chủ gấp - giảm tiếp 500 tr. DT sàn 140m2 (7x10),4 tỷ",70,3,2,"Xa Lộ Hà Nội, Quận 9, Thủ Đức",2023-11-17 11:11:11,"• Khu Nam Hoà, Ngã Tư Bình Thái, Xa Lộ Hà Nội. |???? Thuận tiện di chuyển về Quận 2, ra ngã tư Thủ Đức, ngã tư Bình Thái, Đỗ Xuân Hợp.",
652,13.6,"Hạ chào 3,6 tỷ giá mới 13,6 tỷ nhà mặt tiền Tân Sơn Nhì 86m2, ngang 6m rộng, 4 tầng BTCT.",86,3,3,"Tân Sơn Nhì, Tân Phú",2023-11-17 11:14:01,"+ Hiện trang: 1 trệt 3 lầu, nhà mới tinh vào ở ngay . |+ Tiện ích xung quanh không thiếu thứ gì.  |+ Sổ hồng vuông đẹp, công chứng ngay. |+ Hỗ trợ về pháp lý và thương lượng được giá tốt. |Miễn trung gian… |LH: 0858346038 hoặc zalo ( Mrs Diễm). |Chuyên nhà mặt phố và hẻm ô tô. Nhận mua bán – ký gửi nhà, đất tất cả các Quận tại Sài Gòn. |Yoni",
653,3.5,Bán nhà Đại Mỗ SIÊU XINH - CHUẨN MÁI ẤM GIA ĐÌNH - 35M2 - 5T - Ô TÔ 10M - GIÁ NHỈNH 3 TỶ,35,,,Đại Mỗ - Nam Từ Liêm - Hà Nội,2023-11-17 11:19:42,"* Mô tả: |- Nhà tự xây hiện đại, đầy đủ công năng. Vài bước ô tô, 100m ra đường QL 70 contenner tránh. |- Bán kính trong vòng 300m là Trường, Chợ, Siêu thị… có thể nói tiện ích không thiếu thứ gì, an ninh cực tốt. |* Thiết kế: |T1: Để xe, khách, bếp, |T2,3: mỗi tầng 1 ngủ siêu rộng, wc. Có thể cắt làm 2 phòng cho con. Thoải mái ở cho đại gia đình 3 thế hệ. |T4: 1 Ngủ, 1 thờ, sân phơi. |* Pháp lý: Sổ đỏ vuông vắn, pháp lý chuẩn. A/C/E cứ đến xem ủng hộ ạ.",
654,3.5,"QUÁ RẺ -ĐẠI LA - HBT- 100TR/M2 NHÀ ĐẸP 3 TẦNG 35M MT 3,8 LONG LANH GẦN PHỐ - 3,5 TỶ",35,3,4,,2023-11-17 11:25:28," + Gần chợ Mơ, vào phố đi bộ chỉ 5p, gần trường Đại Học Bách Khoa, bệnh viện Bạch Mai, Lão Khoa, Thanh Nhàn........  |+ Tầng 1: Phòng khách, bếp, WC. |+ Tầng 2: 2 ngủ, WC. |+ Tầng 3: 1 Ngủ, phòng thờ, sân phơi, WC. |+ Sổ đỏ chính chủ sang tên ngay.",
655,5.65,"Bán nhà phố Thịnh Quang, Đống Đa, gần phố, ở ngay 5 tầng 47m2 giá 5.65 tỷ",47,6,4,,2023-11-17 11:29:23,"- Từ nhà ra đến bệnh viện châm Cứu Trung Ương có vài phút, rất nhiều tiện ích xung quanh. |- Nhà trên sổ là ngõ 438 của Phố Tây Sơn cũ, nay là Phố Thịnh Quang, thông Phố Vĩnh Hồ  |- Nhà được TK 5 tầng khung cột bê tông chịu lực. |-Tầng 1: Phòng khách, bếp, cầu thang và vs giữa.  |- Tầng 2,3,4: Mỗi tầng có 2 phòng ngủ và vs. |- Tầng 5: Phòng thờ và sân phơi , nơi đặt máy giặt. |- Sổ đỏ chính chủ, nở hậu, cất két chờ giao dịch . |- Giá có thương lượng.",
656,31.5,"SIÊU HOT ĐỈNH CAO KINH DOANH MT 2 CĂN ( 10 X 18,5)M, VUÔNG VỨC CHỈ 31,5 TỶ.",185,1,1,"Tân Sơn Nhì, Tân Phú",2023-11-17 11:58:57,"+ Diện tích: 185m2, ngang 10 dài 18,5m, sổ chuẩn vuông , đẹp. |+ Nhà đang có hợp đồng cho thuê 5 năm sắp đến ngày đáo hạn. Chủ mới có thể cho thuê tiếp tục hoặc xây mới tùy ý gia chủ mới. |+ Hỗ trợ về pháp lý và thương lượng được giá tốt. |+ Pháp lý chuẩn, công chứng ngay. |LH: 0858346038 hoặc zalo( Mrs Diễm). |Chuyên nhà mặt phố và hẻm ô tô. Nhận mua bán – ký gửi nhà, đất tất cả các Quận tại Sài Gòn. |Haky-hakyA",
657,31.5,"SIÊU HOT ĐỈNH CAO KINH DOANH MT 2 CĂN ( 10 X 18,5)M, VUÔNG VỨC CHỈ 31,5 TỶ.",185,1,1,"Tân Sơn Nhì, Tân Phú",2023-11-17 11:58:57,"+ Diện tích: 185m2, ngang 10 dài 18,5m, sổ chuẩn vuông , đẹp. |+ Nhà đang có hợp đồng cho thuê 5 năm sắp đến ngày đáo hạn. Chủ mới có thể cho thuê tiếp tục hoặc xây mới tùy ý gia chủ mới. |+ Hỗ trợ về pháp lý và thương lượng được giá tốt. |+ Pháp lý chuẩn, công chứng ngay. |LH: 0858346038 hoặc zalo( Mrs Diễm). |Chuyên nhà mặt phố và hẻm ô tô. Nhận mua bán – ký gửi nhà, đất tất cả các Quận tại Sài Gòn. |Haky-hakyA",
658,3300,CHÍNH CHỦ BÁN CĂN NHÀ VỪA HOÀN THIỆN NGAY TRƯỜNG LẠC HỒNG BỬU LONG,100,4,2,bửu long,2023-11-17 11:59:18,"_ THANH TOÁN 800TR NHẬN NHÀ _ |???? Vị Trí : Hẻm 820 Huỳnh Văn Nghệ ,Bửu Long Biên Hòa ... Cách huỳnh Văn nghệ 100m , đối diện trường TH Tân Bửu , Trung tâm sát hạch lái xe, KDL Bửu Long... |???? Thiết Kế : Mái Thái 1 lầu 1 trệt , 3 phòng ngủ. Sân xe ,bếp,phòng khách,phòng thờ ... |???? Diện tích : 83m2, xây hết đất, bảo hành 24 tháng |???? Pháp lý : Sổ riêng thổ cư 100% |Xem nhà 03 567 567 39 thương lượng chủ ❤️",
659,4.98,"Bán nhà đẹp 6 tầng, MT kinh doanh, Khu Tên Lửa, Bình Tân, An Lạc A",53,4,3,Thành phố Hồ Chí Minh,2023-11-17 12:12:59,"- Nhà đẹp mới 4.1x12.5m , 3 tầng,  3 PN, Sân Thượng, Khu vực an ninh, dân trí cao, tiện ích bao quanh. Vị trí gần vòng xoay Phú Lâm, siêu thị Coopmart, trường học các câp, siêu thị, công viên.... |-Chỉ 5 tỷ nhỉnh TL mạnh- Sổ vuông đẹp. |☎️zalo 0938059388. Nhà Phố SG. |#nhaphosaigon,#nhadepre,#mặttien,#kinhdoanh,#tphcm. |- Vị trí đẹp,nhà mới,  khu vực kinh doanh sầm uất, tiện ích bao. Dân trí cao.",
660,3.1,"Chủ kẹt tiền cần bán gấp căn nhà vị trí đẹp. 1trệt, 1lầu. P11. Q gò vấp.",31,2,2,"cách dduong Duong số 8, 10m.phuong11. quận Gò Vấp",2023-11-17 12:39:47,"+ CÁCH ĐUONG SỐ 8, 10m. KHÔNG CÓ CĂN THỨ 2 ! |+ Kết cấu; 1trệt, 1 lầu , 2PN, 2WC. |+ Hàng sớm văn minh, vô cùng thân thiện. |+ Tiện XD mới, khu hiện huwxu, XD thoải mái |+ Sổ hồng chính chủ, hoàn công đủ.. |+ Giá ban ; 3ty1. |+ còn TL |+ Gấp. Gấp. Gấp...",
661,13.6,"BÁN GẤP NHÀ NGUYỄN VĂN SĂNG  TÂN PHÚ 86M2 , GIÁ 13.6 TỶ.",86,3,3,,2023-11-17 13:35:58,"- Nhà 4 tầng BTCT, 1 trệt 3 lầu và sân thượng,  3 phòng ngủ, 3 toilet. |- Hiện trạng nhà mới khách mua vào là ở ngay. |- Sổ hồng chính chủ, vuông vức như tờ A4,  công chứng trong ngày. |- Mặt tiền nhà 6m thuận tiện kinh doanh và mua bán, gần trường học, khu đông dân cư, dân trí cao. | |* LIÊN HỆ: 0868590168 - 0858346038 ( Mrs Diễm – Chuyên mua bán – ký gửi nhà phố, hẻm ô tô tại các Quận Sài Gòn). Yoni",
662,3.4,"BÁN NHÀ 42m2.3 Phòng Ngủ.đường số 38, Phường Hiệp Bình Chánh - TP.Thủ Đức",45,3,2,Hẻm 67 đường số 38 Phường Hiệp Bình Chánh TP.Thủ Đức,2023-11-17 14:25:33,"Vị trí ở hẻm đường số 38 Hiệp Bình Chánh Thủ Đức  |Nhà C4 có gác lửng |Có 3 phòng ngủ, Dưới 1PN - trên 2 PN |Phòng khách + Bếp + sân để xe |Diện tích. 42m2. Ngang 3.6 dài 11.5 |Hẻm 3 gác lớn - cách hẻm xe hơi vài căn nhà |Nhà còn ở tốt.chỉ việc dọn vào ở đón tết |Giá đang giảm 650tr, giảm cực sâu |Chỉ còn nhỉnh 3ty - khó tìm ra căn thứ 2 so sánh |Sổ riêng.đang ở nhà,ko quy hoạch.ko lộ giới |Lhe  em Hiếu, chuyên nhà phố thủ đức.nguồn nhà ngộp giá tốt.còn rất nhiều căn cho quý anh chị lựa chọn 24/7 xem nhà + sổ",
663,3.8,"Bán nhà Ngõ Linh  Quang - Đống Đa 32m, 2 tầng. Giá: 3.8 tỷ",32,2,,Hà Nội,2023-11-17 15:13:16,"Bán nhà ngõ Linh Quang, nhà vị trí đẹp, lô góc 2 mặt thoáng. |Diện tích 32m, nhà 2 tầng cũ, chủ xác định bán đất. |Đường trước nhà ô tô chạy, ngõ thông thoáng các ngả đi lại thuận tiện |Nhà gần chợ, trường học các cấp, TTTM... tiện ích quanh khu vực không thiếu thứ gì |Sổ đỏ chính chủ, sẵn sàng giao dịch |Giá: 3.8 tỷ, có thương lượng |Liên hệ trực tiếp hoặc zalo: 0937.158.386",
664,4.5,"Bán nhà phố Bạch Mai, Hai Bà Trưng 52m, 4 tâng. Giá: 4.5 tỷ",52,4,,Hà Nội,2023-11-17 15:19:28,"Nhà vị trí đẹp, trung tâm quận Hai Bà Trưng, cách phố Cổ 10 phút đi xe |Diện tích 52m, nhà 4 tầng, công năng đầy đủ, về ở ngay |Đường trước nhà xe máy tránh, cách mặt phố 40m, ngõ thoáng đi lại thuận tiện |Nhà gần chợ, trường học các cấp, TTTM... tiện ích quanh khu vực không thiếu thứ gì |Sổ đỏ chính chủ, sẵn sàng giao dịch |Giá: 4.5 tỷ, có thương lượng |Liên hệ trực tiếp hoặc zalo: 0937.158.386",
